spn\alliance\alderaan\broonmark\motorcade_speeder.spn_p,art\static\area\hth_hoth\vehicle\hth_veh_neu_speeder_02.gr2
spn\exp\seasons\02\ep_03\door\gs_door_power_relay_01.spn_p,dyn\exp\seasons\02\ep_03\gravestone_round_door.dyn
spn\exp\seasons\02\ep_03\door\gs_door_power_relay_02.spn_p,dyn\exp\seasons\02\ep_03\gravestone_round_door.dyn
spn\exp\seasons\02\ep_03\door\gs_door_power_relay_03.spn_p,dyn\exp\seasons\02\ep_03\gravestone_round_door.dyn
spn\exp\seasons\02\ep_03\door\gs_door_power_room_entrance.spn_p,dyn\exp\seasons\02\ep_03\gravestone_round_door.dyn
spn\exp\seasons\02\ep_03\gravestone_skybox.spn_p,dyn\exp\seasons\02\ep_03\gravestone_skybox.dyn
spn\exp\seasons\02\ep_03\wonkavator_gravestone_mid.spn_p,dyn\generic\wonkavator\wonkavator_rep_elevator.dyn
spn\exp\seasons\02\ep_03\wonkavator_gravestone_port_side.spn_p,dyn\generic\wonkavator\wonkavator_rep_elevator.dyn
spn\exp\seasons\02\ep_03\wonkavator_gravestone_power_level.spn_p,dyn\generic\wonkavator\wonkavator_rep_elevator.dyn
spn\exp\seasons\02\ep_03\world\count_down_timer.spn_p,dyn\generic\quest_utility\invisible_block.dyn
spn\exp\seasons\02\ep_03\world\destroyed_battery_large.spn_p,dyn\exp\seasons\02\ep_03\destroyed_battery_large.dyn
spn\exp\seasons\02\ep_03\world\destroyed_battery_large_post_cine.spn_p,dyn\exp\seasons\02\ep_03\destroyed_battery_large.dyn
spn\exp\seasons\02\ep_03\world\destroyed_battery_small.spn_p,dyn\exp\seasons\02\ep_03\destroyed_battery_small.dyn
spn\exp\seasons\02\ep_03\world\exh_controller.spn_p,dyn\generic\quest_utility\invisible_block.dyn
spn\exp\seasons\02\ep_03\world\power_gen_ceiling_light.spn_p,dyn\exp\seasons\02\ep_03\power_gen_ceiling_light.dyn
spn\exp\seasons\02\ep_03\world\power_gen_exit.spn_p,dyn\exp\seasons\02\ep_03\power_gen_exit_light.dyn
spn\exp\seasons\02\ep_03\world\power_gen_light.spn_p,dyn\exp\seasons\02\ep_03\power_gen_light.dyn
spn\exp\seasons\02\ep_03\world\power_gen_light_on.spn_p,dyn\exp\seasons\02\ep_03\power_gen_light.dyn
spn\exp\seasons\02\ep_03\world\power_gen_wall_light.spn_p,dyn\exp\seasons\02\ep_03\power_gen_wall_light.dyn
spn\exp\seasons\02\ep_03\world\power_relay_vfx.spn_p,dyn\exp\seasons\02\ep_03\power_relay_vfx.dyn
spn\exp\seasons\02\ep_04\chromium_garden_east_door.spn_p,dyn\exp\seasons\02\ep_04\iokath_small_door.dyn
spn\exp\seasons\02\ep_04\chromium_garden_east_lock.spn_p,dyn\exp\seasons\02\ep_04\iokath_small_door_lightning_lock.dyn
spn\exp\seasons\02\ep_04\chromium_garden_entrance_door.spn_p,dyn\exp\seasons\02\ep_04\iokath_small_door.dyn
spn\exp\seasons\02\ep_04\chromium_garden_north_door.spn_p,dyn\exp\seasons\02\ep_04\iokath_small_door.dyn
spn\exp\seasons\02\ep_04\chromium_garden_north_lock.spn_p,dyn\exp\seasons\02\ep_04\iokath_small_door_lightning_lock.dyn
spn\exp\seasons\02\ep_04\chromium_garden_programming_node.spn_p,dyn\exp\seasons\02\ep_04\central_programming_node.dyn
spn\exp\seasons\02\ep_04\chromium_garden_programming_node_top.spn_p,dyn\exp\seasons\02\ep_04\central_programming_node_top.dyn
spn\exp\seasons\02\ep_04\chromium_garden_south_door.spn_p,dyn\exp\seasons\02\ep_04\iokath_small_door.dyn
spn\exp\seasons\02\ep_04\chromium_garden_south_lock.spn_p,dyn\exp\seasons\02\ep_04\iokath_small_door_lightning_lock.dyn
spn\exp\seasons\02\ep_04\chromium_garden_west_door.spn_p,dyn\exp\seasons\02\ep_04\iokath_small_door.dyn
spn\exp\seasons\02\ep_04\chromium_garden_west_lock.spn_p,dyn\exp\seasons\02\ep_04\iokath_small_door_lightning_lock.dyn
spn\exp\seasons\02\ep_04\cine_cannon_monitors.spn_p,dyn\exp\seasons\02\ep_04\cine_cannon_monitors.dyn
spn\exp\seasons\02\ep_04\cine_vaylin_cell.spn_p,dyn\exp\seasons\02\ep_04\cine_vaylin_cell.dyn
spn\exp\seasons\02\ep_04\cine_vaylin_cell_02.spn_p,dyn\exp\seasons\02\ep_04\cine_vaylin_cell_02.dyn
spn\exp\seasons\02\ep_04\eastern_district_laser_node.spn_p,dyn\exp\seasons\02\ep_04\eastern_district_laser_node.dyn
spn\exp\seasons\02\ep_04\electrical_trap.spn_p,dyn\exp\seasons\02\ep_04\electrical_trap.dyn
spn\exp\seasons\02\ep_04\green_gauntlet_conversation_starter.spn_p,art\static\designblockout\DesignUtility\dbo_utility_flag_white.gr2
spn\exp\seasons\02\ep_04\green_gauntlet_exit_door.spn_p,dyn\exp\seasons\02\ep_04\iokath_small_door.dyn
spn\exp\seasons\02\ep_04\green_gauntlet_exit_lock.spn_p,dyn\exp\seasons\02\ep_04\iokath_small_door_lightning_lock.dyn
spn\exp\seasons\02\ep_04\large_ship_skybox.spn_p,dyn\exp\seasons\02\ep_04\large_ship_skybox.dyn
spn\exp\seasons\02\ep_04\laser_trap\target.spn_p,art\static\designblockout\DesignUtility\dbo_utility_flag_blue.gr2
spn\exp\seasons\02\ep_04\light_bridge.spn_p,dyn\exp\seasons\02\ep_04\light_bridge.dyn
spn\exp\seasons\02\ep_04\light_bridge_controls.spn_p,dyn\exp\seasons\02\ep_04\light_bridge_controls.dyn
spn\exp\seasons\02\ep_04\omnicannon_console.spn_p,dyn\exp\seasons\02\ep_04\omnicannon_console.dyn
spn\exp\seasons\02\ep_04\omnicannon_room.spn_p,dyn\exp\seasons\02\ep_04\omnicannon_room.dyn
spn\exp\seasons\02\ep_04\power_cell_container_1.spn_p,dyn\exp\seasons\02\ep_04\power_cell_container_1.dyn
spn\exp\seasons\02\ep_04\power_cell_container_2.spn_p,dyn\exp\seasons\02\ep_04\power_cell_container_2.dyn
spn\exp\seasons\02\ep_04\power_cell_container_3.spn_p,dyn\exp\seasons\02\ep_04\power_cell_container_3.dyn
spn\exp\seasons\02\ep_04\technolith_1.spn_p,dyn\exp\seasons\02\ep_04\technolith.dyn
spn\exp\seasons\02\ep_04\technolith_chromium_garden.spn_p,dyn\exp\seasons\02\ep_04\technolith.dyn
spn\exp\seasons\02\ep_04\technolith_east_district.spn_p,dyn\exp\seasons\02\ep_04\technolith.dyn
spn\exp\seasons\02\ep_04\technolith_green_gauntlet_1.spn_p,dyn\exp\seasons\02\ep_04\technolith.dyn
spn\exp\seasons\02\ep_04\technolith_green_gauntlet_2.spn_p,dyn\exp\seasons\02\ep_04\technolith.dyn
spn\exp\seasons\02\ep_04\technolith_tributary.spn_p,dyn\exp\seasons\02\ep_04\technolith.dyn
spn\exp\seasons\02\ep_04\technolith_west_district.spn_p,dyn\exp\seasons\02\ep_04\technolith.dyn
spn\exp\seasons\02\ep_04\tributary_access_entrance_door.spn_p,dyn\exp\seasons\02\ep_04\iokath_small_door.dyn
spn\exp\seasons\02\ep_04\tributary_companion_exit_door.spn_p,dyn\exp\seasons\02\ep_04\iokath_monster_closet_door.dyn
spn\exp\seasons\02\ep_04\tributary_ray_shield.spn_p,dyn\exp\seasons\02\ep_04\tributary_ray_shield.dyn
spn\exp\seasons\02\ep_04\tributary_secret_door.spn_p,dyn\exp\seasons\02\ep_04\tributary_secret_door.dyn
spn\exp\seasons\02\ep_04\west_district_programming_node.spn_p,dyn\exp\seasons\02\ep_04\central_programming_node.dyn
spn\exp\seasons\02\ep_04\west_district_programming_node_top.spn_p,dyn\exp\seasons\02\ep_04\central_programming_node_top.dyn
spn\exp\seasons\02\ep_04\west_laser_trap.spn_p,dyn\exp\seasons\02\ep_04\west_laser_trap.dyn
spn\exp\seasons\02\ep_05\aries_console.spn_p,dyn\exp\seasons\02\ep_05\aries_console.dyn
spn\exp\seasons\02\ep_05\aries_laser_target_ring_1_a.spn_p,art\static\designblockout\DesignUtility\dbo_utility_star_red.gr2
spn\exp\seasons\02\ep_05\aries_laser_target_ring_1_b.spn_p,art\static\designblockout\DesignUtility\dbo_utility_star_red.gr2
spn\exp\seasons\02\ep_05\aries_laser_target_ring_2_a.spn_p,art\static\designblockout\DesignUtility\dbo_utility_star_red.gr2
spn\exp\seasons\02\ep_05\aries_laser_target_ring_2_b.spn_p,art\static\designblockout\DesignUtility\dbo_utility_star_red.gr2
spn\exp\seasons\02\ep_05\aries_laser_target_ring_2_c.spn_p,art\static\designblockout\DesignUtility\dbo_utility_star_red.gr2
spn\exp\seasons\02\ep_05\aries_laser_target_ring_3_a.spn_p,art\static\designblockout\DesignUtility\dbo_utility_star_red.gr2
spn\exp\seasons\02\ep_05\aries_laser_target_ring_3_b.spn_p,art\static\designblockout\DesignUtility\dbo_utility_star_red.gr2
spn\exp\seasons\02\ep_05\aries_laser_target_ring_3_c.spn_p,art\static\designblockout\DesignUtility\dbo_utility_star_red.gr2
spn\exp\seasons\02\ep_05\aries_laser_target_ring_3_d.spn_p,art\static\designblockout\DesignUtility\dbo_utility_star_red.gr2
spn\exp\seasons\02\ep_05\aries_laser_target_ring_3_e.spn_p,art\static\designblockout\DesignUtility\dbo_utility_star_red.gr2
spn\exp\seasons\02\ep_05\aries_panels_1.spn_p,dyn\exp\seasons\02\ep_05\aries_panels_1.dyn
spn\exp\seasons\02\ep_05\aries_panels_2.spn_p,dyn\exp\seasons\02\ep_05\aries_panels_2.dyn
spn\exp\seasons\02\ep_05\aries_panels_3.spn_p,dyn\exp\seasons\02\ep_05\aries_panels_3.dyn
spn\exp\seasons\02\ep_05\aries_power_cell.spn_p,dyn\exp\seasons\02\ep_05\aries_power_cell.dyn
spn\exp\seasons\02\ep_05\aries_power_conduit_plug.spn_p,dyn\exp\seasons\02\ep_05\aries_power_conduit_plug.dyn
spn\exp\seasons\02\ep_05\aries_teleportation_loc.spn_p,art\static\designblockout\DesignUtility\dbo_utility_flag_white.gr2
spn\exp\seasons\02\ep_05\aries_transmission_state_machine.spn_p,dyn\exp\seasons\02\ep_05\droid_state_machine.dyn
spn\exp\seasons\02\ep_05\cine_hall_explosive.spn_p,dyn\exp\seasons\02\ep_05\cine_hall_explosive.dyn
spn\exp\seasons\02\ep_05\cine_sc7_aries_base_computer.spn_p,dyn\exp\seasons\02\ep_05\cine_sc7_aries_base_computer.dyn
spn\exp\seasons\02\ep_05\cine_sc9_superweapon.spn_p,dyn\exp\seasons\02\ep_05\cine_sc9_superweapon.dyn
spn\exp\seasons\02\ep_05\droid_dispenser.spn_p,dyn\exp\seasons\02\ep_05\droid_dispenser.dyn
spn\exp\seasons\02\ep_05\droid_state_machine.spn_p,dyn\exp\seasons\02\ep_05\droid_state_machine.dyn
spn\exp\seasons\02\ep_05\east_tributary_companion_entrance.spn_p,dyn\exp\seasons\02\ep_05\iokath_small_door.dyn
spn\exp\seasons\02\ep_05\east_tributary_door.spn_p,dyn\exp\seasons\02\ep_05\iokath_small_door.dyn
spn\exp\seasons\02\ep_05\east_tributary_player_entrance.spn_p,dyn\exp\seasons\02\ep_05\iokath_small_door.dyn
spn\exp\seasons\02\ep_05\iokath_med_tree_destroyable.spn_p,dyn\exp\seasons\02\ep_05\iokath_med_tree_destroyable.dyn
spn\exp\seasons\02\ep_05\large_battery_destroyable.spn_p,dyn\exp\seasons\02\ep_05\large_battery_destroyable.dyn
spn\exp\seasons\02\ep_05\lgihts.spn_p,dyn\exp\seasons\02\ep_05\lights.dyn
spn\exp\seasons\02\ep_05\light_bridge.spn_p,dyn\exp\seasons\02\ep_04\light_bridge.dyn
spn\exp\seasons\02\ep_05\monster_closet_door.spn_p,dyn\exp\seasons\02\ep_05\iokath_monster_closet_door.dyn
spn\exp\seasons\02\ep_05\panel.spn_p,dyn\exp\seasons\02\ep_05\panel.dyn
spn\exp\seasons\02\ep_05\powered_down_door.spn_p,dyn\exp\seasons\02\ep_05\powered_down_door.dyn
spn\exp\seasons\02\ep_05\power_conduit_base.spn_p,dyn\exp\seasons\02\ep_05\power_conduit_port.dyn
spn\exp\seasons\02\ep_05\power_conduit_port.spn_p,dyn\exp\seasons\02\ep_05\power_conduit_port.dyn
spn\exp\seasons\02\ep_05\secret_door.spn_p,dyn\exp\seasons\02\ep_05\secret_door.dyn
spn\exp\seasons\02\ep_05\security_console.spn_p,dyn\exp\seasons\02\ep_05\security_console.dyn
spn\exp\seasons\02\ep_05\security_door.spn_p,dyn\exp\seasons\02\ep_04\iokath_small_door.dyn
spn\exp\seasons\02\ep_05\security_door_retreat.spn_p,dyn\exp\seasons\02\ep_04\iokath_small_door.dyn
spn\exp\seasons\02\ep_05\technolith_necropolis.spn_p,dyn\exp\seasons\02\ep_04\technolith.dyn
spn\exp\seasons\02\ep_05\technolith_tributary_east.spn_p,dyn\exp\seasons\02\ep_04\technolith.dyn
spn\exp\seasons\02\ep_05\tributary_courtyard_conversation_starter.spn_p,art\static\designblockout\DesignUtility\dbo_utility_flag_white.gr2
spn\exp\seasons\02\ep_06\cine_chandelier.spn_p,dyn\exp\seasons\02\ep_06\cine_chandelier.dyn
spn\exp\seasons\02\ep_06\cine_dropship_landed.spn_p,dyn\exp\seasons\02\ep_06\cine_landed_drop_ship.dyn
spn\exp\seasons\02\ep_06\cine_sitting_room_window.spn_p,dyn\exp\seasons\02\ep_06\cine_sittingroom_window.dyn
spn\exp\seasons\02\ep_06\cine_skydeck_01.spn_p,dyn\exp\seasons\02\ep_06\cine_skydeck_01.dyn
spn\exp\seasons\02\ep_06\cine_vaylin_crowd.spn_p,dyn\exp\seasons\02\ep_06\cine_vaylin_crowd.dyn
spn\exp\seasons\02\ep_06\dropship_skyscene.spn_p,dyn\exp\seasons\02\ep_06\dropship_skyscene.dyn
spn\exp\seasons\02\ep_06\placeables\1f_door_ballroom_northeast.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\1f_door_ballroom_southeast.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\1f_door_ballroom_southwest.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\1f_door_foyer_northeast.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\1f_door_foyer_southeast.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\1f_door_foyer_southwest.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\1f_door_kitchen_south.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\1f_door_kitchen_south_console.spn_p,dyn\exp\seasons\02\ep_06\door_console.dyn
spn\exp\seasons\02\ep_06\placeables\1f_door_kitchen_storage_south.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\1f_door_kitchen_storage_west.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\1f_door_kitchen_west.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway_half.dyn
spn\exp\seasons\02\ep_06\placeables\1f_door_security_data_room.spn_p,dyn\exp\seasons\02\ep_06\glass_door.dyn
spn\exp\seasons\02\ep_06\placeables\1f_door_security_data_room_console.spn_p,dyn\exp\seasons\02\ep_06\security_data_door_console.dyn
spn\exp\seasons\02\ep_06\placeables\1f_door_security_northeast.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\1f_door_security_northeast_console.spn_p,dyn\exp\seasons\02\ep_06\door_console.dyn
spn\exp\seasons\02\ep_06\placeables\1f_door_security_southeast.spn_p,dyn\exp\seasons\02\ep_06\security_room_door.dyn
spn\exp\seasons\02\ep_06\placeables\1f_door_service_north_1.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway_half.dyn
spn\exp\seasons\02\ep_06\placeables\1f_door_service_north_2.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway_half.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_ballroom_north.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway_double_wide_and_tall.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_ballroom_northeast.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_ballroom_northwest.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_ballroom_southeast.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_ballroom_southwest.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_foyer_northwest.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_guest_bedroom.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_north_hall_east.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway_double_wide.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_service_north.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_service_south.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_service_west.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_sitting_room_north.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_sitting_room_south.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_sitting_room_window_ctr.spn_p,dyn\exp\seasons\02\ep_06\shatterable_window_door_volume_ctr_panel.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_sitting_room_window_side.spn_p,dyn\exp\seasons\02\ep_06\shatterable_window_door_volume_side_panel.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_skydeck_elevator.spn_p,dyn\exp\seasons\02\ep_06\skydeck_elevator_door.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_soldiers_quarters_locker_room.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_soldiers_quarters_north.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_soldiers_quarters_north_console.spn_p,dyn\exp\seasons\02\ep_06\door_console.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_soldiers_quarters_southeast.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_west_hall_mid_blocker.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\2f_door_west_hall_objective.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\b1_door_beast_care_to_stairs.spn_p,dyn\exp\seasons\02\ep_06\beast_pit_door_stairs.dyn
spn\exp\seasons\02\ep_06\placeables\b1_door_east_hall_northeast.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\b1_door_east_hall_northeast_console_dockside.spn_p,dyn\exp\seasons\02\ep_06\door_console.dyn
spn\exp\seasons\02\ep_06\placeables\b1_door_east_hall_northeast_console_inside.spn_p,dyn\exp\seasons\02\ep_06\door_console.dyn
spn\exp\seasons\02\ep_06\placeables\b1_door_loading_dock_center.spn_p,dyn\exp\seasons\02\ep_06\loading_dock_door.dyn
spn\exp\seasons\02\ep_06\placeables\b1_door_loading_dock_south.spn_p,dyn\exp\seasons\02\ep_06\loading_dock_door.dyn
spn\exp\seasons\02\ep_06\placeables\b1_door_machine_room_north.spn_p,dyn\exp\seasons\02\ep_06\industrial_door.dyn
spn\exp\seasons\02\ep_06\placeables\b1_door_machine_room_west.spn_p,dyn\exp\seasons\02\ep_06\industrial_door.dyn
spn\exp\seasons\02\ep_06\placeables\b1_door_machine_room_west_console_pitside.spn_p,dyn\exp\seasons\02\ep_06\door_console.dyn
spn\exp\seasons\02\ep_06\placeables\b1_door_pit_exit_east.spn_p,dyn\exp\seasons\02\ep_06\beast_pit_door_pens.dyn
spn\exp\seasons\02\ep_06\placeables\b1_door_pit_exit_west.spn_p,dyn\exp\seasons\02\ep_06\beast_pit_door_pens.dyn
spn\exp\seasons\02\ep_06\placeables\b1_door_rancor_pen_ceiling.spn_p,dyn\exp\seasons\02\ep_06\rancor_pen_ceiling.dyn
spn\exp\seasons\02\ep_06\placeables\b1_door_server_room.spn_p,dyn\exp\seasons\02\ep_06\industrial_trapezoid_door.dyn
spn\exp\seasons\02\ep_06\placeables\b1_door_server_room_console.spn_p,dyn\exp\seasons\02\ep_06\door_console.dyn
spn\exp\seasons\02\ep_06\placeables\ballroom_disco_ball.spn_p,dyn\exp\seasons\02\ep_06\ballroom_disco_ball.dyn
spn\exp\seasons\02\ep_06\placeables\ballroom_return_area.spn_p,dyn\exp\seasons\02\ep_06\ballroom_return_area.dyn
spn\exp\seasons\02\ep_06\placeables\ballroom_spilled_drinks.spn_p,dyn\exp\seasons\02\ep_06\ballroom_spilled_drinks.dyn
spn\exp\seasons\02\ep_06\placeables\barracks_captain_shield.spn_p,dyn\exp\seasons\02\ep_06\barracks_captain_shield.dyn
spn\exp\seasons\02\ep_06\placeables\barracks_food_table.spn_p,dyn\exp\seasons\02\ep_06\barracks_food_table.dyn
spn\exp\seasons\02\ep_06\placeables\beast_pit_climb_indicator.spn_p,dyn\exp\seasons\02\ep_06\beast_pit_climb_indicator.dyn
spn\exp\seasons\02\ep_06\placeables\beast_pit_door_entrance.spn_p,dyn\exp\seasons\02\ep_06\beast_pit_door_small.dyn
spn\exp\seasons\02\ep_06\placeables\beast_pit_door_entrance_console_exterior.spn_p,dyn\exp\seasons\02\ep_06\beast_pit_door_console.dyn
spn\exp\seasons\02\ep_06\placeables\beast_pit_door_entrance_console_interior.spn_p,dyn\exp\seasons\02\ep_06\beast_pit_door_console.dyn
spn\exp\seasons\02\ep_06\placeables\beast_pit_door_pens_exterior.spn_p,dyn\exp\seasons\02\ep_06\beast_pit_door_pens.dyn
spn\exp\seasons\02\ep_06\placeables\beast_pit_door_pens_interior.spn_p,dyn\exp\seasons\02\ep_06\beast_pit_door_pens.dyn
spn\exp\seasons\02\ep_06\placeables\beast_pit_door_pens_rancor_access.spn_p,dyn\exp\seasons\02\ep_06\beast_pit_door_pens.dyn
spn\exp\seasons\02\ep_06\placeables\beast_pit_door_rancor.spn_p,dyn\exp\seasons\02\ep_06\beast_pit_door_large_rancor.dyn
spn\exp\seasons\02\ep_06\placeables\beast_pit_encounter_agro_radius.spn_p,dyn\exp\seasons\02\ep_06\beast_pit_encounter_agro_radius.dyn
spn\exp\seasons\02\ep_06\placeables\beast_pit_feeding_trough.spn_p,dyn\exp\seasons\02\ep_06\beast_pit_feeding_trough.dyn
spn\exp\seasons\02\ep_06\placeables\beast_pit_hatch.spn_p,dyn\exp\seasons\02\ep_06\beast_pit_door_roof_hatch.dyn
spn\exp\seasons\02\ep_06\placeables\beast_pit_medicinal_goo.spn_p,dyn\exp\seasons\02\ep_06\beast_pit_medicinal_goo.dyn
spn\exp\seasons\02\ep_06\placeables\beast_pit_occluder.spn_p,dyn\exp\seasons\02\ep_06\beast_pit_occluder.dyn
spn\exp\seasons\02\ep_06\placeables\data_room_terminal.spn_p,dyn\exp\seasons\02\ep_06\data_room_terminal.dyn
spn\exp\seasons\02\ep_06\placeables\dropship_alliance_hangar.spn_p,dyn\exp\seasons\02\ep_06\dropship_alliance_hangar_50pct.dyn
spn\exp\seasons\02\ep_06\placeables\east_hall_lights.spn_p,dyn\exp\seasons\02\ep_06\east_hall_lights.dyn
spn\exp\seasons\02\ep_06\placeables\foremans_access_badge.spn_p,dyn\exp\seasons\02\ep_06\foreman_access_badge.dyn
spn\exp\seasons\02\ep_06\placeables\foyer_vaylin_holo_table_display.spn_p,dyn\exp\seasons\02\ep_06\foyer_holostatue_table.dyn
spn\exp\seasons\02\ep_06\placeables\generic_boolean_marker.spn_p,dyn\location\flashpoint\generic\logic\simple_boolean.dyn
spn\exp\seasons\02\ep_06\placeables\glass_door_test.spn_p,dyn\exp\seasons\02\ep_06\glass_door.dyn
spn\exp\seasons\02\ep_06\placeables\horizon_guard_blocker.spn_p,dyn\exp\seasons\02\ep_06\horizon_guard_blocker.dyn
spn\exp\seasons\02\ep_06\placeables\horizon_guard_blocker_main_phase.spn_p,dyn\exp\seasons\02\ep_06\horizon_guard_blocker.dyn
spn\exp\seasons\02\ep_06\placeables\industrial_door_16m_test.spn_p,dyn\exp\seasons\02\ep_06\industrial_door.dyn
spn\exp\seasons\02\ep_06\placeables\kitchen_culinary_abominations.spn_p,dyn\exp\seasons\02\ep_06\kitchen_culinary_abominations.dyn
spn\exp\seasons\02\ep_06\placeables\kitchen_food_locker.spn_p,dyn\exp\seasons\02\ep_06\kitchen_food_locker.dyn
spn\exp\seasons\02\ep_06\placeables\kitchen_storage_lights.spn_p,dyn\exp\seasons\02\ep_06\kitchen_storage_lights.dyn
spn\exp\seasons\02\ep_06\placeables\machine_closet_note.spn_p,dyn\exp\seasons\02\ep_06\paper_note.dyn
spn\exp\seasons\02\ep_06\placeables\machine_room_console.spn_p,art\static\area\zak_zakuul\item\zac_item_console_02.gr2
spn\exp\seasons\02\ep_06\placeables\north_hall_lights.spn_p,dyn\exp\seasons\02\ep_06\north_hall_lights.dyn
spn\exp\seasons\02\ep_06\placeables\penthouse_door_double_wide_and_tall_test.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway_double_wide_and_tall.dyn
spn\exp\seasons\02\ep_06\placeables\penthouse_door_double_wide_test.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway_double_wide.dyn
spn\exp\seasons\02\ep_06\placeables\penthouse_door_test.spn_p,dyn\exp\seasons\02\ep_06\zakuul_penthouse_doorway.dyn
spn\exp\seasons\02\ep_06\placeables\pit_cleaning_door_note.spn_p,dyn\exp\seasons\02\ep_06\paper_note.dyn
spn\exp\seasons\02\ep_06\placeables\pit_exit_west_conduit.spn_p,dyn\exp\seasons\02\ep_06\beast_pit_exit_conduit.dyn
spn\exp\seasons\02\ep_06\placeables\rendezvous_lights.spn_p,dyn\exp\seasons\02\ep_06\rendezvous_lights.dyn
spn\exp\seasons\02\ep_06\placeables\security_desk_console.spn_p,dyn\exp\seasons\02\ep_06\security_desk_console.dyn
spn\exp\seasons\02\ep_06\placeables\security_skytrooper_console.spn_p,dyn\exp\seasons\02\ep_06\data_room_terminal.dyn
spn\exp\seasons\02\ep_06\placeables\server_room_terminal.spn_p,dyn\exp\seasons\02\ep_06\server_room_terminal.dyn
